,text
0,SHE CACKLES.... AGAINST TORY #HS2 ??!!\nShe told a public meeting in her constituency: ��What exactly is the problem we are solving with HS2? And what might have seemed like the right solution in 2010 �C is that still the right solution in 2030? \nhttps://t.co/vuubOQ50rE
1,"#HS2 is a money making machine that only works for PART of the country but costs billions! YES we need better transport but THIS doesn't work on SO many levels, actually goes past the centre of lot of cities making the journey LONGER,  ppl die on our paths because of this, wtf?! https://t.co/kXSp8tVApR"
3,"So after pledging ?100bn for #Manchester &amp; NW on #NorthernPowerhouse &amp; a luxury high speed train, @Conservatives lose Trafford and are kicked out NW.....meanwhile #hs2 is Tory Heartlands who are resigning membership....absurd....@Mike_Fabricant @CherylGillan #Election2018"
5,"#STOPHS2 on the lack of compensation payments for businesses: ""#HS2Ltd: Thanks for giving us your home. Money? What Money?  https://t.co/xW0vZMbOj6""\n\n#HS2 #BreeLouise #Camden"
6,"Yet more #HS2 corner cutting, arrogance and bad practice. #HS2 price hike warning over rejection of risk allocation tool https://t.co/eH2l3QXZbp"
7,What you are missing is that the community disruption of the 60s is being repeated big time by #HS2 and as for the existing #Euston station not one penny is in the budget for that https://t.co/YZ8bp2T3BQ
8,There are several things that will prevent me voting #Tory again - as they have totally lost thei way. #HS2 is one of them. https://t.co/v8gUC7q2TD
10,"Another example of the impact of the #RealCostofHS2 and its affect on #PeterHealy owner of the #GreenLeafNursey #Southam #Warwickshire, compelled to move but after 6 yrs of waiting still not knowing his level of compensation #HS2 #HS2Ltd https://t.co/1foRiRGS20"
13,3rd place for #YorkshireParty who opposes #HS2 in Rotherham &amp; Doncaster robs @DanJarvisMP of his instant coronation as Sheffield CR Mayor despite Labour's stranglehold. He refused to meet us in the last few months to see evidence of HS2 lies &amp; damage to Yorkshire @GeorgeTorr_ https://t.co/kAu6MEDizQ
14,Worth noting that anti-HS2 parties #YorkshireParty #TheGreens polled 726 more votes than the @Conservatives in Doncaster &amp; Rotherham forcing a second round in #sheffieldcityregion Mayoral Race. Not surprising that @DanJarvisMP flip-flopped on #HS2 M18 Eastern Route @GeorgeTorr_ https://t.co/PJoEhApVH6
15,"In the South Yorks Sheffield City Region Mayoral Race - two parties @TheGreenParty &amp; @Yorkshire_Party which would scrap #HS2 today have polled 39,250 votes in Rotherham, Doncaster &amp; Sheffield which is 5,286 more votes than @Conservatives @Nus_Ghani @kevin_larkin @RobMurphy2012 https://t.co/trbx0cgV5t"
16,https://t.co/FDqnWoBTwN Nearly a fifth of #HS2 workforce left in the last year. So much for creating jobs that nobody wants https://t.co/M9Bosej0Eg
17,Jarvis flip-flopped on #HS2 Eastern Route - he refused to meet Doncaster &amp; Rotherham HS2 Community Groups to hear truth and he has lost votes in traditional Labour Areas in Doncaster and Rotherham He will win but not expected cakewalk &amp; coronation. @joepike https://t.co/RsT1kkXV6O
18,Good to know that @HS2ltd are doing all they can to mitigate effects of archaeological work in...#Aberdeen #HS2 #wrongaddress #clownshoes https://t.co/oFzsxQkcSv
19,This must be a side issue what with \n#Brexit\n#LocalElections\n#Windrush\n#Resignations\n#ScandalAfterScandal\n\n#HS2 @DfTstats on the backburner. https://t.co/K7Esg6FjFX
21,If you do one thing this weekend.....@ChilternsAONB.....we are peak #Bluebells.....might be last time before #hs2 destroy them! https://t.co/HxagMfGbva
24,#HS2: The brutal reality finally revealed�� https://t.co/1ectDm0oEb  (Unless you have HS2 in your garden you simply cannot understand how we feel.)
25,#HS2\n@HS2ltd Arse and Elbow?\nNothing has changed over the last 7 years. \nStill no clue.\n#Idiots paid for by #taxpayer https://t.co/U3JULAxjMo
27,"Bye Bye Mr Useless #HS2 communities will shed no tears after the lies,harm &amp; blight visited on families, small businesses, community groups from this unwanted megaproject   @hs2ltd https://t.co/G1WxyDaLsb"
31,Why are we spending a fortune on #HS2 more and better roads are what we need. 98% of journeys by road! Don't spout green lies at me within a decade oil use for travelling will &gt;halve from renewables and hydrogen. hydrogen will assist renewables by storing power like a battery. https://t.co/dRBU5DkWYo
32,"Sad to see the demolition of The Bree Louise underway. Apparently, doing so will help the good people of Crewe by having a new railway line running alongside the existing one. #HS2"
36,"I wonder how much a pod costs but then its #HS2 so money is no problem, we're picking up the tab. How the heck did Robert Stephenson, Peto, IKB etc manage to build the original network without having access to pods? https://t.co/an6f00LpB9"
39,Net Fiscal Balance for the North West show Greater Manchester does not collect enough money from PAYE &amp; NIC to cover it's public services. It has the 4th highest deficit level per person in the UK. Almost 3x the UK average. #HS2 #APPG #GreaterManchester #facts https://t.co/78rfk89NPW
45,"If ""It's all over bar the pointless moaning...""\n\nwhy do we still have a #pointless #earringed #bully #trolling #twitter / #HS2?\n\n#HS2 sucks\n\n#HS2 will become a "".. lessons must be learned."" case.\n\nHmm. @number10gov chums get rich at #Taxpayer #expense then fold."
46,"It isn't acceptable - and they're doing the same in Ickenham,  Harefield &amp; Denham for phase 1 #HS2.  @buckscc @LBHillingdon @HS2ltd @michaelgove @HMWTBadger. https://t.co/Lao9KHoqCv"
47,"Clearly NW Tech would benefit far more from inward investment NOW and in national High Speed Broadband, rather than an anachronistic #HS2 in 20 years time https://t.co/3RNRfO1M3j"
52,Concerns for wildlife as #HS2 workers cut down trees and hedges near #Kenilworth https://t.co/XsovmRAreE\n\nMore evidence of the #RealCostofHS2 and the lack of regard #HS2Ltd has for local residents this time in Kenilworth #Warwickshire
57,#HS2 adopt #Carillion Accounting practices as contract labour costs for February buried in transparency data https://t.co/4AvrZwAyd6 via @CityAM
58,"#hs2 #northernpowerhouse disguising the phenomenal cost to the taxpayer.....they shifted ?750mn off the books, ignoring the ?1.6bn compensation theyve paid......they are still ?3.6bn spent &amp; not a track laid! @CommonsPAC @NAOorguk @AndyMcDonaldMP https://t.co/UVZ7Hzgvw8"
59,"That point has been reached many times when the rationale put forward for #HS2 was discredited, only to be replaced by a 'new' rationale by the 17 PR Cos paid to promote the scheme to Parliament and the people using our own money. ?3.6 spent already not a rail laid, ?100Bn to go https://t.co/FmikbI6BMX"
61,Consultants have been getting rail passenger forecasts badly wrong for decades. The East Coast collapse is yet more evidence that predicting the future is not something they are getting any better at doing. https://t.co/RL3lPChVRd #HS2
62,9 Years on #HS2 don't even have an idea of what is under the ground and the disruption begin HS2ltd #Camden @Cmnplace project. https://t.co/Ly0rbkzBfm
63,Join me and call on the #HS2 minister to tell @HS2ltd to deliver the tunnel extension in #Staffs and save #AncientWoodland #StandUpForTrees https://t.co/GKckFBpOVG
64,"HS2��s routes within Yorkshire were developed only to deliver north-south connectivity, with no thought whatsoever for future east-west transpennine links. The #HS2 route in the north is a square peg in a round hole and does not work with @Transport4North \nhttps://t.co/eNlR4ybOGA https://t.co/xtsTaU5iwI"
65,Well #HS2 is the least green form of transport ever designed - so may as well just keep destroying any environment that comes to hand.\n#HSWhiteElephant. #EmptyRailway https://t.co/xSRmeS1LkJ
67,Help us fight #hs2 &amp; save vast swathes of irreplaceable British countryside &amp; prevent thousands of lives being blighted. https://t.co/5kUTrGfS3C
69,The @HS2Parliament committee yesterday decided that #HS2 should plough through another 6 hectares of #AncientWoodland in #Staffordshire. Please take this action to protect it via the @WoodlandTrust website  https://t.co/pNGMK1Tnc4 #StopHS2
70,Join me and call on the #HS2 minister to tell @HS2ltd to deliver the tunnel extension in #Staffs and save #AncientWoodland #StandUpForTrees https://t.co/bju8Dm0FOt
72,"Out of a ?55.7 billion budget, the #HS2 committee wasn��t willing to spend ?116 million to save #AncientWoodland. Ask the HS2 Minister to step up and tell @HS2ltd to extend a tunnel to save these #woods and #wildlife https://t.co/C4ZUYJLQgw https://t.co/yRetidtmi4"
73,"Yet again, ridiculous decisions to cut down ancient forests! Join me and call on the #HS2 minister to tell @HS2ltd to deliver the tunnel extension in #Staffs and save #AncientWoodland #StandUpForTrees https://t.co/J58hV0oEOE #saveourtrees"
75,Join me and call on the #HS2 minister to tell @HS2ltd to deliver the tunnel extension in #Staffs and save #AncientWoodland #StandUpForTrees https://t.co/et438pkyig
77,Join me and call on the #HS2 minister to tell @HS2ltd to deliver the tunnel extension in #Staffs and save #AncientWoodland #StandUpForTrees https://t.co/ziihld2edh
79,Let��s stand up together for #AncientWoodland.\n\nThe UK has a terrible record for cutting down woodland. It��s time this changed.\n\nHere��s a petition so you can help.\n#StandUpForTrees\n#HS2 https://t.co/914r2TLoft
80,Join me and call on the #HS2 minister to tell @HS2ltd to deliver the tunnel extension in #Staffs and save #AncientWoodland #StandUpForTrees https://t.co/g8W4cqgMJX
81,"The #HS2 buggers are paid to have happy faces, get a selfie of the people who are being asked (made) to pay for this wretched project https://t.co/vqc3BaRD22"
82,What the hell does that mean 'Leaders' ? #HS2 environmental and social destruction coming to a place near your 'locality' ? https://t.co/0k7iEainxq
85,"The smile of someone earning ?560,000 from the taxpayer while #NorthernRail #railplan2020 has upgrades cancelled everywhere .....CEO of #hs2 https://t.co/P4lQwfhLh1"
87,A tunnel extension that would save over six hectares of #AncientWoodland was rejected by the #HS2 Phase 2a Select Committee. Help us #StandUpForTrees and let @Nus_Ghani know this is unacceptable! https://t.co/0bwRNUd69n https://t.co/ePR8uoXHlQ
89,Join me and call on the #HS2 minister to tell @HS2ltd to deliver the tunnel extension in #Staffs and save #AncientWoodland #StandUpForTrees https://t.co/qXBqkHeEGm
91,Why not help get #hs2 cancelled? Staffordshire is going to have massive #destruction &amp; #misery &amp; #debt because of this train https://t.co/Iy7nUuwrDu
92,"How #HS2Ltd are treating an 80 yr old #Pensioner in #Ilkestone, disgraceful: ""#Ilkeston pensioner��s battle with #HS2 rail line""\nRead more at: https://t.co/HgH63GXdqv\n\n#Erewash #Derbyshire"
93,#HS2 is a juggernaut wrecking the countryside. It is also based on a flimsy justification and should have been abandoned months ago. https://t.co/gP9qcxW2pJ
95,Join me and call on the #HS2 minister to tell @HS2ltd to deliver the tunnel extension in #Staffs and save #AncientWoodland #StandUpForTrees https://t.co/P8Q2y8eLso
96,"An 'Industry' doesn't depend on ?Billions of  taxpayer subsidy every year. That's not an industry, its a lame duck. #HS2 https://t.co/hIuU2Jqhmz"
97,"1/2 #Australia is another country, along with #Sweden &amp; #Switzerland to reject #HighSpeedRail ""Let's get moving with the affordable medium-speed alternatives to the old dream of high-speed rail"" #HS2"
98,Landlord who saw his pub and home seized to make way for #HS2 has had to stop his search for a new business because he is still waiting for compensation: https://t.co/86ktLKKKlR
99,"Hang on.  Is it that @Andrew_Adonis chap again? Did'nt he promote #HS2 ? Apols if I have the wrong end of the stick, but if not, what did the SE countryside do to offend this chap so much in that he is determined to build road &amp; rail &amp; houses over most of it? https://t.co/TeUZ9Oalnb"
100,Here��s an MP that supports the #HS2 Gravy Train but wants to raise taxes to pay for the #NHS. We��re been ��absolutely blunt and honest with you�� @annasoubrymp when we say that you��ve got your priorities wrong. Pathetic! https://t.co/5klkDwZjw8
102,"#England #Scotland #Wales #scotlandhour #Waleslive #englandhour hs2 itself will not live up to the name ""high speed rail"" due to 13 stops+ embark/disembark times , it will never deliver it's #hs2 made up times , Just lies that #mps should see thru  https://t.co/pggeq9b6Rb"
103,"Birmingham was shown to be more car dependent than any other city in 2011 census. That's because public transport is dire &amp; it  built lots of roads. It could improve public transport, cycling &amp; walking to make it more liveable but it prefers #HS2 https://t.co/ZKxKEreDlm"
