,text
6,Strong support for #HS2 and #NorthernPowerhouseRail from @britishchambers: https://t.co/lbhUmLYGoJ
7,Leaders from across the #NorthernPowerhouse have emphasised the importance of bringing forward both #HS2 and #NorthernPowerhouseRail.\n\nRead more ⬇️ #LeedsKeyToTheNorth\nhttps://t.co/LTJeglyo62
10,"#HS2 engineer.""Some of these embankments would have been 15m high and that provided a technical challenge to design that high while still being capable of carrying a high speed railway""  Phase 2b has embankments 25m high. @Carmel_Harrison @KevinBarronMP https://t.co/Yx0f6YWQWQ https://t.co/kOZLyqbmQQ"
13,Some of #Crossrail Tunnels are 500% over budget.....Phase 1 of #hs2 has one tunnel section almost twice the length of entire Crossrail! @CherylGillan @Mike_Fabricant https://t.co/JfTKpEqnAS
16,Figures obtained by @Heightsafe from four of the UK’s most high-profile #publicworks projects demonstrate that a high proportion of #healthandsafety incidents are related to #workingatheight https://t.co/vhS4CDeZNe\n\n#Crossrail #HS2
32,The @londonassembly has responded to findings that a fixation on December 2018 for completion and a mismanagement of the @Crossrail project are what has lead to delay after delay in the launch of #HS2 https://t.co/9euqYCpizC https://t.co/ZwKzsqYHAa
33,The londonassembly has responded to findings that a fixation on December 2018 for completion and a mismanagement of the Crossrail project are what has lead to delay after delay in the launch of #HS2 https://t.co/miAfYAvdJx https://t.co/deeTS1mdeg
34,Construction of #HS2 is vital for #railfreight growth. Once express services are moved onto the new network those paths can be used to create more #freight paths along the extremely congested #WCML. Time to get more lorries off the roads with more domestic #intermodal services.
36,A year in the life of QUEST scholar Anna Doherty... 👷‍♀️\n\n#CivilEngineering student Anna is currently doing an industry placement year with her #QUEST sponsor @Skanska on #HS2.\n \nFind out how she’s got on so far 👇 https://t.co/NOGRdSJyfq
37,"HS2 is underway and already delivering benefits, including investing in jobs, skills and delivering innovation 🚆\n\nWith 9,000 jobs already being supported around the country, find the right role for you ➡️ https://t.co/VoDjeGq71w #HS2 #IndustrialStrategy https://t.co/yFxy8dWMiL"
38,"Alison Munro was appointed Managing Director of Development at #HS2 in September 2014, following 5 years as Chief Executive. She was replaced by a man on 6 times her salary. https://t.co/9YRrkgQ9V2"
39,Interesting comments about scrapping Heathrow's third runway and doing more with HS2.\n\n#HS2 #ThirdRunway #Healthrow #Rail #DynamicGroup\n\nhttps://t.co/QRKW7aNJ6n https://t.co/3NWbdwaVeY
53,"HS2 expects the project to deliver £92bn in benefits as well as 500,000 new jobs and, crucially, 90,000 new homes by the time it is completed in 2033.\n\n#hs2 #Birmingham #future  https://t.co/6ESxsfuoTy"
58,Thank you for the interesting and thoughtful responses. Is there a independent and balanced source you could suggest that discusses pros and cons of #HS2? https://t.co/9oIpUF3L5a
59,"Blog alert!\n\nIt's more important than ever for rail companies to be agile and responsive. But in an industry that is traditionally slow to adopt new technologies, how can we make sure that the right decisions are being made?\n\nRead it here: https://t.co/g6grGjUEpj\n\n#HS2 #OLE #Rail https://t.co/quoEHctoqp"
60,"#HS2 is something else we should have a referendum about. \nWell, once the result of the last referendum has been implemented… 🙄 https://t.co/aBtjzYZc9D"
