,text
0,Local development not only has to gaurd against wildlife loss but contribute to its recovery.... #HS2 just do not give a dam! @BorisJohnson how could you commit this illegal ecocide ?? https://t.co/dHGm2ukTra
1,"5 years on,finally a meeting with @HS2ltd about #Settlementdeeds #blight #stress #loss #despair \n#HS2 utterly shameless in their blatant disregard for #Ruislip #Hillingdon residents. An utter disgrace.\n@BorisJohnson @DSimmonds_RNP @Andrew4Pendle @grantshapps \nWhat will you do?"
2,"Why when country is in recession &amp; heading for even deeper recession is Government going ahead with that White Elephant called #HS2 at estimated cost of £100 billion, everyone is obviously going to pay higher taxes. Because Tory donas have a vested interest in seeing it proceed ?"
3,Its just all in a days work for #HS2 #LadyWalker as #HS2Ltd destroy part of our heritage #CrackleyWoods a remnant of the #ForestofArden with links to #WilliamShakespear https://t.co/MNv3ctSyff
4,"The destruction of ancient forest for HS2 is utterly appalling, we should be ashamed. How can we expect other countries to protect the RAINFOREST?. and it's the noise of the trains too #HS2 @BBCBreakfast"
5,"Your actions speak louder than words #BorisJohnson \n#HS2 is NOT wanted, not needed and we cannot afford it in finances nor MORE importantly in the cost against our environment."
6,Not a word on £106 BILLION #HS2 waste of taxpayers money either https://t.co/9z03WOgcmI
8,“Sites will not operate where this cannot be achieved”. Well they are! #HS2 @Andrew4Pendle @grantshapps @Alex_Stafford @tonyberkeley1    https://t.co/0N83Pl89Oc https://t.co/1feaMP1j3u
9,"People still dont seem to see that this is 1 tree while #HS2 are cutting down 1,000s like this one across the country #EveryTreeMatters https://t.co/fwQpQjjb3G https://t.co/aRooN3MUQ4"
11,"Back in 2010 around August, those against #HS2 had already poured scorn on the budget for #HS2 to which those in favour said we were mad. Each and every year we stated the methodology used by #HS2 was wrong &amp; we were proved right time and again, but #HS2 continued to lie &amp; lie. https://t.co/nm3DG0l6eZ"
12,"Is this £32 - £37K per annum Assistant Construction Manager (#HS2) job being currently advertised as working for #NetworkRail another example of the #HiddenCostofHS2? See "" Assistant Construction Manager (HS2)"" @ https://t.co/IWqaZEdIIT"
14,Haven't we lost enough ancient woodland thanks to the government giving #HS2 the go ahead? Now this....\n\nCampaign launched against reservoir plans which would ‘destroy’ ancient woodland https://t.co/e752HFAImG
