,text
2,"1/2  #EstherMcVeyMP "" ��What exactly is the problem we are solving with #HS2? And what might have seemed like the right solution in 2010 �C is that still the right solution in 2030?"" So say the MP for #Tatton. For more in the same vein, see #WarringtonGuardian"
4,"#YorkshirePost: #HighSpeedRail route across North won��t be as fast as #HS2, says #ChrisGrayling https://t.co/hQDBXOc6h6\n\n#ChrisGraylingMP #Liverpool #Manchester #Bradford #Leeds #Sheffield #HS3 #NorthernPowerhouseRail"
9,"Recently announced as Chair of National College for High Speed Rail, Alison Munro is preparing the workforce for #HS2. Got questions for her? She'll be speaking at #buyyorkshire - register here: https://t.co/BCL6f7YkYp #Conference #BuyYorkshire"
11,"��Britain��s railways need more, not less, competition��? ? https://t.co/jqZBItIdpd\n\nThis is an article about how the passenger benefit from #OpenAccess #TrainOperators / #TOCs such as #GrandCentral and #HullTrains. Is this a model for #HS2?"
12,Fortunately #HS2 is consulting with people in Aberdeen Bemused residents receive letters about rail works 500 miles away�� https://t.co/zw0zxq3kXr via @pressjournal
20,Aberdeen's somewhat mediocre train connections could be taking an unexpected twist. @HS2ltd have written to me in AB10 about archaeology being carried out in my local area in prep for #HS2 - will it stop at Portlethen? https://t.co/q4oOWrrNc8
22,It��s nice of the government to inform us about this archeology work taking place in our ��local area�� for the #HS2 BUT..\n1. I had no idea there were plans to extend it to ABERDEEN where we live  (!)\n2. Is this some really futuristic planning (surely not) ?????? https://t.co/fgUzU9WVLN
23,"The future of ground based transport, #hyperloop, it��s not going to be #HS2 centuries old tech which is already obsolete, so #stophs2 now and develop #hyperloop https://t.co/foTchmSAim"
26,"#NottinghamPost: ""New #HS2 route will pass less than 200m from ambulance HQ in #Nottingham"" @ https://t.co/AEvUY3wfnN\n\n#LongEaton #Trowell #Nottinghamshire"
28,The #NorthernPowerhouse #hs2 chief supporter is Drax.....#hs2 needs 900MW of energy hence why Drax want the luxury high speed train.....sell them energy! But wait......now why wasn��t this in the @hs2ltd Carbon outputs report....Another Powerhouse Con! https://t.co/VHD5Y5B4mw
29,A total of 140 businesses from across the #Midlands met with #HS2's direct contractors at the largest HS2 supply chain engagement event https://t.co/SiRuzJ9gTf #SMEs #Infrastructure
