,text
4,Today we're hosting @Keir_Starmer in #collectivetemperance; discussing with our members their concerns around #Brexit #hs2 and the #GE2017 https://t.co/reDWrC6IDH
7,Brilliant hardworking Anti-HS2 councillors re-elected en-mass in Yorkshire #HS2 Congrats to Andy @LordGibbons @bevmchapman @Mexborough1st ! https://t.co/STVCMLFMta
14,The technical director of #HS2 has hit back at reports that the project could go over budget: https://t.co/ZkoipVi3kT https://t.co/iAQNxsrMz1
17,"#Homeowner on #London's #HS2 route? Could you be entitled to up to £22,500 in compensation? Find out today: https://t.co/jEdaKCMCHd https://t.co/xkh9NqEkX9"
20,It's a function of TOCs wanting to make the maximum profit out of their 'franchise' #HS2 will perpetuate this business model https://t.co/rDQBMHab0N
21,So if the predicted 'passengers' don't appear - as is almost certain - #HS2 can be used for moving parcels for Amazon. £54Bn well spent https://t.co/XTjiSSHbAS
22,Swift Doors Speed Opening of New Campuses at #NCHSR . Read more in @DoorIndustryJnl Blog https://t.co/7K8EEt6U7T  #HS2 https://t.co/0kPVJVcsQx
23,How prepared is the #UK to deliver #HS2? Find out on page 14 of \n@NS_Spotlight  @NewStatesman #transport issue: https://t.co/DYIs1Vzcfj https://t.co/WdaiG2qxSC
26,Does the UK have the skills it needs to deliver #HS2? See @NS_Spotlight @NewStatesman #Transport issue for our views https://t.co/DYIs1Vzcfj https://t.co/ShZDR8kNqw
36,An ambitious piece of public art that will stand outside Birmingham's #HS2 station has been chosen: https://t.co/CHjVfxPXMl https://t.co/tNzdd8Fu2G
37,Birmingham Airport and #HS2 are discussing plans that could see a terminal built directly into a new station: https://t.co/nNln21buix https://t.co/ivq1nQ5Xkj
47,"Exciting HS2-Bham Airport connection explored, seamless modal transfer is needed #HS2 #Birmingham #highspeedrail https://t.co/NOX7g4Gpy4 https://t.co/Gp5it2cgfV"
49,Did you know that Phase 2a of the #HS2 Bill will likely be introduced this year? Find out more about HS2 on our hub https://t.co/vowhBJhUI4 https://t.co/QXVGyGnWR2
50,"St George's Gardens, #Manchester #Investment #Property #Launch. #Invest now to get #incredible rates #HS2 and #HS3 https://t.co/4rQppsRGAp https://t.co/UJRCOEwFsX"
51,"St George's Gardens, #Manchester #Investment #Property #Launch. #Invest now to get #incredible rates #HS2 and #HS3 https://t.co/VDYB9IMNxI https://t.co/AgQDPWsTpO"
52,"St George's Gardens, #Manchester #Investment #Property #Launch. #Invest now to get #incredible rates #HS2 and #HS3 https://t.co/GmjWa1nKHQ https://t.co/J6VOsQMfhF"
60,Votes shouldn't be taken for granted especially after the Tories #Dementiatax @fairfundschools #HS2 #NHSMillions #ToriesOUT https://t.co/EFVx0mSZ6T
61,"The #procurement process for #HS2 is now well under way, with contracts currently being advertised https://t.co/lHhm1NTpu5 @ScunTelegraph https://t.co/VCwQWhxK0z"
63,"The 'Procurement Process' for #HS2 appears to be more like ""Ask the Family"" or ""Who wants to be a Millionaire"" - Phone a friend !! https://t.co/FqLD0ZXrKu"
64,"In the recent TSC hearing Grayling said he would tell Mace that there were ""Plenty more contracts"" #HS2 - well of course there are. https://t.co/lgasSTgcNl"
